eID,dID,efID,elID,jID,Attrition,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ExperienceLevel,burnout_rate,AnnualIncome
1,1,1,1,1,Yes,1102,1,2,94,3,4,5993,8,1,3,8,1,6,4,0,5,Mid-level,2.2,71916
2,2,1,2,2,No,279,8,3,61,2,2,5130,1,0,4,10,3,10,7,1,7,Senior,2.0,61560
3,2,2,1,3,Yes,1373,2,4,92,2,3,2090,6,1,3,7,3,0,0,0,0,Junior,2.6,25080
4,2,1,3,2,No,1392,3,4,56,3,3,2909,1,1,3,8,3,8,7,3,0,Senior,2.8,34908
5,2,3,2,3,No,591,2,1,40,3,2,3468,9,0,3,6,3,2,2,2,2,Junior,1.8,41616
6,2,1,1,3,No,1005,2,4,79,3,4,3068,0,0,3,8,2,7,7,3,6,Senior,2.6,36816
7,2,3,4,3,No,1324,3,3,81,4,1,2670,4,1,4,12,2,1,0,0,0,Junior,2.2,32040
8,2,1,2,3,No,1358,24,4,67,3,3,2693,1,0,4,1,3,1,0,0,0,Junior,2.6,32316
9,2,1,4,4,No,216,23,4,44,2,3,9526,0,0,4,10,3,9,7,1,8,Senior,2.4,114312
10,2,3,4,5,No,1299,27,3,94,3,3,5237,6,0,3,17,2,7,7,7,7,Senior,2.2,62844
11,2,3,4,3,No,809,16,1,84,4,2,2426,0,0,3,6,3,5,4,0,3,Mid-level,2.0,29112
12,2,1,1,3,No,153,15,4,49,2,3,4193,0,1,3,10,3,9,5,0,8,Senior,2.6,50316
13,2,1,2,2,No,670,26,1,31,3,3,2911,1,0,3,5,2,5,2,4,3,Mid-level,1.8,34932
14,2,3,1,3,No,1346,19,2,93,3,4,2661,0,0,3,3,3,2,2,1,2,Junior,2.4,31932
15,2,1,4,3,Yes,103,24,3,50,2,3,2028,5,1,3,6,3,4,2,0,3,Mid-level,2.4,24336
16,2,1,3,4,No,1389,21,2,51,4,1,9980,1,0,3,10,3,10,9,8,8,Senior,2.0,119760
17,2,1,1,2,No,334,5,1,80,4,2,3298,0,1,3,7,2,6,2,0,5,Mid-level,2.0,39576
18,2,3,1,3,No,1123,16,4,96,4,4,2935,1,1,3,1,2,1,0,0,0,Junior,3.0,35220
19,1,1,3,6,No,1219,2,1,78,2,4,15427,2,0,3,31,3,25,8,3,7,Senior,2.0,185124
20,2,1,4,2,No,371,2,4,45,3,4,3944,5,1,3,6,3,3,2,1,2,Mid-level,3.0,47328
21,2,2,1,4,No,673,11,1,96,4,3,4011,0,0,3,5,2,4,2,1,3,Mid-level,2.0,48132
22,1,1,3,7,Yes,1218,9,3,82,2,1,3407,7,0,4,10,3,5,3,0,3,Mid-level,1.8,40884
