eID,dID,efID,elID,jID,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,JobSatisfaction,JobInvolvement,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome,Attrition,OverTime
1,1,1,1,1,5993,1102,94,19479,4,3,3,1,6,4,0,5,8,0,1,Yes,1
2,2,1,2,2,5130,279,61,24907,2,2,4,3,10,7,1,7,1,3,8,No,0
3,2,2,1,3,2090,1373,92,2396,3,2,3,3,0,0,0,0,6,3,2,Yes,1
4,2,1,3,2,2909,1392,56,23159,3,3,3,3,8,7,3,0,1,3,3,No,1
5,2,3,2,3,3468,591,40,16632,2,3,3,3,2,2,2,2,9,3,2,No,0
6,2,1,1,3,3068,1005,79,11864,4,3,3,2,7,7,3,6,0,2,2,No,0
7,2,3,4,3,2670,1324,81,9964,1,4,4,2,1,0,0,0,4,3,3,No,1
8,2,1,2,3,2693,1358,67,13335,3,3,4,3,1,0,0,0,1,2,24,No,0
9,2,1,4,4,9526,216,44,8787,3,2,4,3,9,7,1,8,0,2,23,No,0
10,2,3,4,5,5237,1299,94,16577,3,3,3,2,7,7,7,7,6,3,27,No,0
11,2,3,4,3,2426,809,84,16479,2,4,3,3,5,4,0,3,0,5,16,No,0
12,2,1,1,3,4193,153,49,12682,3,2,3,3,9,5,0,8,0,3,15,No,1
13,2,1,2,2,2911,670,31,15170,3,3,3,2,5,2,4,3,1,1,26,No,0
14,2,3,1,3,2661,1346,93,8758,4,3,3,3,2,2,1,2,0,2,19,No,0
15,2,1,4,3,2028,103,50,12947,3,2,3,3,4,2,0,3,5,4,24,Yes,1
16,2,1,3,4,9980,1389,51,10195,1,4,3,3,10,9,8,8,1,1,21,No,0
17,2,1,1,2,3298,334,80,15053,2,4,3,2,6,2,0,5,0,5,5,No,1
18,2,3,1,3,2935,1123,96,7324,4,4,3,2,1,0,0,0,1,2,16,No,1
19,1,1,3,6,15427,1219,78,22021,4,2,3,3,25,8,3,7,2,3,2,No,0
20,2,1,4,2,3944,371,45,4306,4,3,3,3,3,2,1,2,5,3,2,No,1
21,2,2,1,4,4011,673,96,8232,3,4,3,2,4,2,1,3,0,5,11,No,0
22,1,1,3,7,3407,1218,82,6986,1,2,4,3,5,3,0,3,7,4,9,Yes,0
23,2,1,3,8,11994,419,53,21293,2,3,3,3,12,6,2,11,0,4,7,No,0
24,2,1,1,2,1232,391,96,19281,4,3,3,3,0,0,0,0,1,6,15,No,0
25,2,3,2,2,2960,699,83,17102,1,3,3,3,4,2,1,3,2,2,6,Yes,0
26,2,2,4,6,19094,1282,58,10735,3,3,3,2,14,13,4,8,4,3,5,No,0
27,2,1,2,2,3919,1125,72,4681,1,1,4,3,10,2,6,7,1,5,16,Yes,1
28,1,4,3,1,6825,691,48,21173,2,3,3,3,9,7,4,2,0,2,8,No,0
29,2,3,3,5,10248,477,42,2094,4,2,3,3,22,6,5,17,3,4,7,No,0
30,1,4,3,6,18947,705,83,22822,1,3,3,2,2,2,2,1,3,2,2,No,0
31,2,3,4,3,2496,924,78,6670,4,3,3,3,1,1,0,0,4,3,2,No,0
32,2,2,3,5,6465,1459,41,19121,4,3,3,4,4,2,1,3,2,5,10,No,1
33,2,3,1,3,2206,125,83,16117,3,2,3,3,10,0,1,8,1,5,9,No,0
34,1,5,4,7,2086,895,56,3335,4,3,3,4,1,0,0,0,3,6,5,Yes,0
35,2,3,4,2,2293,813,61,3020,4,3,3,2,2,0,2,0,2,2,1,Yes,1
36,2,3,1,2,2645,1273,72,21923,3,4,3,2,5,3,1,4,1,3,2,No,0
37,1,4,1,7,2683,869,86,3810,3,2,3,3,3,2,0,2,1,2,3,Yes,1
38,1,4,4,7,2014,890,97,9687,4,3,3,3,2,2,2,2,1,3,2,No,0
39,2,1,3,2,3419,852,82,13072,1,2,3,4,1,1,0,0,9,3,5,No,1
40,1,1,4,1,5376,1141,42,3193,1,4,3,3,5,3,1,3,2,3,1,No,0
41,2,2,1,3,1951,464,75,10910,4,3,3,3,1,0,0,0,1,3,4,No,0
42,2,1,3,3,2341,1240,33,19715,1,3,3,3,1,0,0,0,1,6,2,No,0
43,2,1,4,3,2293,1357,48,10558,3,1,3,2,1,0,0,1,1,2,25,Yes,0
44,1,1,4,1,8726,994,37,2975,3,3,3,3,9,8,1,7,1,0,8,No,0
45,2,3,1,3,4011,721,58,10781,4,3,4,3,12,8,3,7,1,2,1,No,0
46,2,5,4,8,19545,1360,49,16280,3,3,3,3,22,15,15,8,1,0,12,Yes,0
47,1,4,3,1,4568,1065,72,10034,3,3,4,3,9,5,8,7,0,2,23,No,0
48,2,1,1,2,3022,408,73,10227,2,3,4,3,1,0,0,0,4,1,19,No,0
49,1,4,3,1,5772,1211,98,20445,4,3,4,3,9,6,0,8,4,4,5,No,1
50,2,1,2,3,2269,1229,36,4892,4,4,3,3,1,0,0,1,1,2,8,No,0
51,2,1,1,3,5381,626,98,19294,3,2,3,3,1,0,0,0,9,2,1,Yes,1
52,2,5,3,3,3441,1434,50,11179,3,3,3,2,2,2,2,2,1,3,5,Yes,1
53,1,4,5,1,5454,1488,75,4009,1,3,4,2,4,3,1,3,5,2,1,No,1
54,2,3,1,5,9884,1097,79,8302,1,2,3,3,4,0,2,3,2,3,11,No,1
55,1,4,4,1,4157,1443,47,21436,4,2,3,2,2,2,0,0,7,2,23,No,1
